question,expected_query
"What signals are encoded in CAN messages?,""SELECT ?signal WHERE { ?signal a dbc:Signal . }"""
"Which CAN messages are observable on the bus?,""SELECT ?message WHERE { ?message a dbc:Message . }"""
"How are signals mapped to CAN messages?,""SELECT DISTINCT ?signal ?message WHERE { ?signal a dbc:Signal . ?message dbc:hasSignal ?signal . }"""
"Which properties are defined for a CAN message?,""SELECT DISTINCT ?property WHERE { ?message a dbc:Message . ?message ?property ?value . }"""
"Which units are used for signal decoding?,""SELECT DISTINCT ?unit WHERE { ?signal qudt:hasUnit ?unit . }"""
"Which encoding schemas are used in the system?,""SELECT ?encoding WHERE { ?message dbc:encodedVia ?encoding . }"""
"Which CAN message contains the highest number of signals?,""SELECT ?message (COUNT(?signal) AS ?signalCount) WHERE { ?message a dbc:Message . ?signal dbc:isPartOf ?message . } GROUP BY ?message ORDER BY DESC(?signalCount) LIMIT 1"""
"Which signals carry voltage measurements?,""SELECT DISTINCT ?signal WHERE { ?signal qudt:hasUnit ex:V . }"""
"What signals are part of the BoeningVI CAN message?,""SELECT DISTINCT ?signal WHERE { ?signal dbc:isPartOf ex:BoeningVI . }"""
"Which CAN message encodes the fire pump pressure signal?,""SELECT DISTINCT ?message WHERE { ?message dbc:hasSignal ex:FirePumpPressure . }"""
"What is the decoding schema of the Inclination signal?,""SELECT DISTINCT ?encoding ?property ?value WHERE { ex:Inclination dbc:decodedVia ?encoding . ?encoding ?property ?value . }"""
"Which signals are targeting the Unknown receiver node?,""SELECT DISTINCT ?signal WHERE { ?signal dbc:hasReceiver ex:Unknown . }"""
"What is the decimal identifier of the bridge battery voltage signal?,""SELECT DISTINCT ?decID WHERE { ex:BridgeBatteryVoltage dbc:isPartOf ?message . ?message dbc:hasDecID ?decID . }"""
"How are sniffing sensors associated with transmitter nodes?,""SELECT DISTINCT ?sensor ?node WHERE { ?message a dbc:Message ";"  dbc:hasTransmitter ?node . ?sensor sosa:observes ?message . }"""
"Which CAN bus platforms are hosting the sniffing sensors?,""SELECT DISTINCT ?platform ?sensor WHERE { ?platform sosa:hosts ?sensor . }"""
"Which relations link CAN messages to CAN bus platforms?,""SELECT ?message ?platform WHERE { ?message a dbc:Message ";"  sosa:isObservedBy ?sensor . ?sensor sosa:isHostedBy ?platform . }"""
"What CAN bus platforms are present in the system?,""SELECT ?platform WHERE { ?platform a sosa:Platform . }"""
"Which platform hosts the can2_sniffer sensor?,""SELECT DISTINCT ?platform ?sensor WHERE { ?platform sosa:hosts ex:can2_sniffer . }"""
"Which message identifiers (Hex IDs) are observable on the can2 CAN bus platform?,""SELECT DISTINCT ?hexid WHERE { ?messagelog dbc:observedOn ex:can2 ";"  dbc:hasHexID ?hexid . }"""
"Which transmitter nodes are associated with the can2_sniffer sensor?,""SELECT DISTINCT ?transmitter WHERE { ?message dbc:hasTransmitter ?transmitter ";"  sosa:isObservedBy ex:can2_sniffer . }"""
"Which types of observations are represented in the system?,""SELECT ?observation WHERE { ?observation rdfs:subClassOf sosa:Observation . }"""
"What are the core components of a CAN message log?,""SELECT DISTINCT ?properties WHERE { ?messagelog a dbc:MessageLog ";"  ?properties ?value . }"""
"How are signal log observations represented in the system?,""SELECT DISTINCT ?properties WHERE { ?signallog a dbc:SignalLog ";"  ?properties ?value . }"""
"Which CAN bus platforms carry CAN message logs?,""SELECT DISTINCT ?platform WHERE { ?messagelog dbc:observedOn ?platform . }"""
"Which measurement units are assigned to the results of signal log observations?,""SELECT DISTINCT ?unit WHERE { ?signallog a dbc:SignalLog ";"  sosa:observedProperty ?signal . ?signal qudt:hasUnit ?unit . }"""
"What is the current temperature in the engine room?,""SELECT ?tempvalue (MAX(?timestamp) AS ?latestTime) WHERE { ?templog a dbc:SignalLog ";  sosa:observedProperty ex:EngineRoomTemperature ;  sosa:hasSimpleResult ?tempvalue ;"  sosa:resultTime ?timestamp . } GROUP BY ?tempvalue ORDER BY DESC(?latestTime) LIMIT 1"""
"Which message logs were most recently recorded on can2 bus?,""SELECT ?timestamp ?value WHERE { ?log a dbc:MessageLog ";  dbc:observedOn ex:can2 ;  sosa:hasSimpleResult ?value ;"  sosa:resultTime ?timestamp . } ORDER BY DESC(?timestamp) LIMIT 300"""
"What was the average value of the fuel tank 01 signal on 01.03.2025?,""SELECT (AVG(?value) AS ?meanValue) WHERE { ?signallog a dbc:SignalLog ";  sosa:hasSimpleResult ?value ;  sosa:observedProperty ex:FuelTank01 ;"  sosa:resultTime ?timestamp . FILTER(STRSTARTS(STR(?timestamp), ""2025-03-01"")) }"""
"What is the maximum port fan rotation speed observed on 01.03.2025?,""SELECT (MAX(?value) AS ?maxValue) WHERE { ?signallog a dbc:SignalLog ";  sosa:hasSimpleResult ?value ;  sosa:observedProperty ex:PortFanRotationSpeed ;"  sosa:resultTime ?timestamp . FILTER(STRSTARTS(STR(?timestamp), ""2025-03-01"")) }"""
"What was the average value of the Inclination starting from 01.03.2025?,""SELECT (AVG(?value) AS ?meanValue) WHERE { ?signallog a dbc:SignalLog ";  sosa:hasSimpleResult ?value ;  sosa:observedProperty ex:Inclination ;"  sosa:resultTime ?timestamp . FILTER(?timestamp >= ""2025-03-01T00:00:00""^^xsd:dateTime) }"""
"What were the port fan rotation speed values on 01.03.2025 when the engine room temperature exceeded 25°C?,""SELECT ?timestamp ?tempValue ?signalValue WHERE { ?templog a dbc:SignalLog ";  sosa:observedProperty ex:EngineRoomTemperature ;  sosa:hasSimpleResult ?tempValue ;"  sosa:resultTime ?timestamp . FILTER(?tempValue > 24 && STRSTARTS(STR(?timestamp), ""2025-03-01"")) OPTIONAL { ?signallog a dbc:SignalLog ";  sosa:observedProperty ex:PortFanRotationSpeed ;  sosa:hasSimpleResult ?signalValue ;"  sosa:resultTime ?signaltimestamp . FILTER(SUBSTR(STR(?timestamp),1,19)=SUBSTR(STR(?signaltimestamp),1,19)) } } ORDER BY ?timestamp"""
"What are encoding schemas of CAN message that observes the highest number of signals?,""SELECT ?message ?encoding WHERE { { SELECT ?message (COUNT(?signal) AS ?count)  WHERE { ?signal dbc:isPartOf ?message . }  GROUP BY ?message  ORDER BY DESC(?count)  LIMIT 1 } ?signal dbc:isPartOf ?message ";"  dbc:decodedVia ?encoding . }"""
"Which FuelTank05 values higher than 40 are observed on 01.03.2025?,""SELECT ?timestamp ?signalValue WHERE { ?log a dbc:SignalLog ";  sosa:observedProperty ex:FuelTank05 ;  sosa:hasSimpleResult ?signalValue ;"  sosa:resultTime ?timestamp . FILTER(STRSTARTS(STR(?timestamp), '2025-03-01') && ?signalValue > 40)} ORDER BY ?timestamp"""
"Which FuelTank02 values lower than 2000 are observed on 01.03.2025?,""SELECT ?timestamp ?signalValue WHERE { ?log a dbc:SignalLog ";  sosa:observedProperty ex:FuelTank05 ;  sosa:hasSimpleResult ?signalValue ;"  sosa:resultTime ?timestamp . FILTER(STRSTARTS(STR(?timestamp), '2025-03-01') && ?signalValue < 2000)} ORDER BY ?timestamp"""
