Individual;rdf:type;dbc:decodedVia;dbc:hasReceiver;dbc:isPartOf;qudt:hasUnit;sosa:isObservedBy
FuelTank01;dbc:Signal;FuelTank01Encoding;Unknown;BoeningI;L;can2_sniffer
FuelTank02;dbc:Signal;FuelTank02Encoding;Unknown;BoeningI;L;can2_sniffer
FuelTank05;dbc:Signal;FuelTank05Encoding;Unknown;BoeningI;L;can2_sniffer
FuelTank06;dbc:Signal;FuelTank06Encoding;Unknown;BoeningI;L;can2_sniffer
FuelTank07;dbc:Signal;FuelTank07Encoding;Unknown;BoeningII;L;can2_sniffer
FuelTank08;dbc:Signal;FuelTank08Encoding;Unknown;BoeningII;L;can2_sniffer
FuelTank15;dbc:Signal;FuelTank15Encoding;Unknown;BoeningII;L;can2_sniffer
BilgeWaterTank12;dbc:Signal;BilgeWaterTank12Encoding;Unknown;BoeningII;L;can2_sniffer
FreshwaterTank14;dbc:Signal;FreshwaterTank14Encoding;Unknown;BoeningIII;L;can2_sniffer
Inclination;dbc:Signal;InclinationEncoding;Unknown;BoeningIII;DEG;can2_sniffer
EngineRoomTemperature;dbc:Signal;EngineRoomTemperatureEncoding;Unknown;BoeningIII;DEG_C;can2_sniffer
FirePumpPressure;dbc:Signal;FirePumpPressureEncoding;Unknown;BoeningIII;BAR;can2_sniffer
PortEngineAlternatorCurrent;dbc:Signal;PortEngineAlternatorCurrentEncoding;Unknown;BoeningIV;A;can2_sniffer
PortGearboxLubOilTemperature;dbc:Signal;PortGearboxLubOilTemperatureEncoding;Unknown;BoeningIV;DEG_C;can2_sniffer
StarboardEngineAlternatorCurrent;dbc:Signal;StarboardEngineAlternatorCurrentEncoding;Unknown;BoeningIV;A;can2_sniffer
StarboardGearboxLubOilTemperature;dbc:Signal;StarboardGearboxLubOilTemperatureEncoding;Unknown;BoeningIV;DEG_C;can2_sniffer
AutomationBatteryVoltage;dbc:Signal;AutomationBatteryVoltageEncoding;Unknown;BoeningV;V;can2_sniffer
AutomationBatteryCurrent;dbc:Signal;AutomationBatteryCurrentEncoding;Unknown;BoeningV;A;can2_sniffer
BridgeBatteryVoltage;dbc:Signal;BridgeBatteryVoltageEncoding;Unknown;BoeningV;V;can2_sniffer
BridgeBatteryCurrent;dbc:Signal;BridgeBatteryCurrentEncoding;Unknown;BoeningV;A;can2_sniffer
FuelTotal;dbc:Signal;FuelTotalEncoding;Unknown;BoeningVI;L;can2_sniffer
StarboardFanRotationSpeed;dbc:Signal;StarboardFanRotationSpeedEncoding;Unknown;BoeningVI;REV-PER-MIN;can2_sniffer
PortFanRotationSpeed;dbc:Signal;PortFanRotationSpeedEncoding;Unknown;BoeningVI;PERCENT;can2_sniffer
ShoreConnectionCurrentL1;dbc:Signal;ShoreConnectionCurrentL1Encoding;Unknown;BoeningVII;A;can2_sniffer
ShoreConnectionCurrentL2;dbc:Signal;ShoreConnectionCurrentL2Encoding;Unknown;BoeningVII;A;can2_sniffer
ShoreConnectionCurrentL3;dbc:Signal;ShoreConnectionCurrentL3Encoding;Unknown;BoeningVII;A;can2_sniffer
ShoreConnectionActivePower;dbc:Signal;ShoreConnectionActivePowerEncoding;Unknown;BoeningVII;KiloW;can2_sniffer
ShoreConnectionConsumption;dbc:Signal;ShoreConnectionConsumptionEncoding;Unknown;BoeningVIII;KiloW-HR;can2_sniffer
ShoreConnectionVoltage;dbc:Signal;ShoreConnectionVoltageEncoding;Unknown;BoeningVIII;V;can2_sniffer
ShoreConnectionFrequency;dbc:Signal;ShoreConnectionFrequencyEncoding;Unknown;BoeningVIII;HZ;can2_sniffer
LargeAuxDieselEnginePower;dbc:Signal;LargeAuxDieselEnginePowerEncoding;Unknown;BoeningIX;KiloW;can2_sniffer
LargeAuxDieselEngineLoad;dbc:Signal;LargeAuxDieselEngineLoadEncoding;Unknown;BoeningIX;PERCENT;can2_sniffer
LargeAuxDieselEngineCurrentL1;dbc:Signal;LargeAuxDieselEngineCurrentL1Encoding;Unknown;BoeningIX;A;can2_sniffer
LargeAuxDieselEngineCurrentL2;dbc:Signal;LargeAuxDieselEngineCurrentL2Encoding;Unknown;BoeningIX;A;can2_sniffer
LargeAuxDieselEngineCurrentL3;dbc:Signal;LargeAuxDieselEngineCurrentL3Encoding;Unknown;BoeningX;A;can2_sniffer
LargeAuxDieselEngineVoltage;dbc:Signal;LargeAuxDieselEngineVoltageEncoding;Unknown;BoeningX;V;can2_sniffer
LargeAuxDieselEngineFrequency;dbc:Signal;LargeAuxDieselEngineFrequencyEncoding;Unknown;BoeningX;HZ;can2_sniffer
SmallAuxDieselEnginePower;dbc:Signal;SmallAuxDieselEnginePowerEncoding;Unknown;BoeningXI;KiloW;can2_sniffer
SmallAuxDieselEngineLoad;dbc:Signal;SmallAuxDieselEngineLoadEncoding;Unknown;BoeningXI;PERCENT;can2_sniffer
SmallAuxDieselEngineCurrentL1;dbc:Signal;SmallAuxDieselEngineCurrentL1Encoding;Unknown;BoeningXI;A;can2_sniffer
SmallAuxDieselEngineCurrentL2;dbc:Signal;SmallAuxDieselEngineCurrentL2Encoding;Unknown;BoeningXI;A;can2_sniffer
SmallAuxDieselEngineCurrentL3;dbc:Signal;SmallAuxDieselEngineCurrentL3Encoding;Unknown;BoeningXII;A;can2_sniffer
SmallAuxDieselEngineVoltage;dbc:Signal;SmallAuxDieselEngineVoltageEncoding;Unknown;BoeningXII;V;can2_sniffer
SmallAuxDieselEngineFrequency;dbc:Signal;SmallAuxDieselEngineFrequencyEncoding;Unknown;BoeningXII;HZ;can2_sniffer
SmallAuxDieselEngineLubOilPressure;dbc:Signal;SmallAuxDieselEngineLubOilPressureEncoding;Unknown;BoeningXIII;BAR;can2_sniffer
SmallAuxDieselEngineCoolWaterTemperature;dbc:Signal;SmallAuxDieselEngineCoolWaterTemperatureEncoding;Unknown;BoeningXIII;DEG_C;can2_sniffer
Wastewater25Percent;dbc:Signal;Wastewater25PercentEncoding;Unknown;BoeningXIV;BOOLEAN;can2_sniffer
Wastewater50Percent;dbc:Signal;Wastewater50PercentEncoding;Unknown;BoeningXIV;BOOLEAN;can2_sniffer
Wastewater75Percent;dbc:Signal;Wastewater75PercentEncoding;Unknown;BoeningXIV;BOOLEAN;can2_sniffer
Wastewater90Percent;dbc:Signal;Wastewater90PercentEncoding;Unknown;BoeningXIV;BOOLEAN;can2_sniffer
KFWAPumpPowerIndicator;dbc:Signal;KFWAPumpPowerIndicatorEncoding;Unknown;BoeningXIV;BOOLEAN;can2_sniffer
TankAlarmActive;dbc:Signal;TankAlarmActiveEncoding;Unknown;BoeningXIV;BOOLEAN;can2_sniffer
LargeAuxDieselEngineHydraulicActive;dbc:Signal;LargeAuxDieselEngineHydraulicActiveEncoding;Unknown;BoeningXV;BOOLEAN;can2_sniffer
ShoreConnectionOn;dbc:Signal;ShoreConnectionOnEncoding;Unknown;BoeningXV;BOOLEAN;can2_sniffer
LargeAuxDieselEngineGSL;dbc:Signal;LargeAuxDieselEngineGSLEncoding;Unknown;BoeningXV;BOOLEAN;can2_sniffer
SmallAuxDieselEngineGSL;dbc:Signal;SmallAuxDieselEngineGSLEncoding;Unknown;BoeningXV;BOOLEAN;can2_sniffer
LargeAuxDieselEngineAutomaticMode;dbc:Signal;LargeAuxDieselEngineAutomaticModeEncoding;Unknown;BoeningXV;BOOLEAN;can2_sniffer
SmallAuxDieselEngineAutomaticMode;dbc:Signal;SmallAuxDieselEngineAutomaticModeEncoding;Unknown;BoeningXV;BOOLEAN;can2_sniffer
